,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std)
raw,10.362400000000004,52.70939199999999,6.175199999999999,0.7467758967722514,5.912802152341647,0.5599294241241481
min-max,10.384,52.63445199999999,6.185600000000002,0.7443735621312726,5.843546036517212,0.5510686345637901
z-score,10.361999999999998,52.579080000000005,6.1712,0.7396458612065643,5.843109720551206,0.5511393290266992
nonlinear,9.0444,47.320524000000006,5.0316,0.4572796081173969,3.8324953132161816,0.2940568652488835
min-max_p,9.777799999999996,56.49668600000001,5.848599999999999,0.7292058419952487,7.491272573495375,0.6023886121101562
z-score_p,12.171399999999997,66.750174,8.051400000000003,0.3855490111516302,4.665447463847815,0.4232919087343862
nonlinear_p,6.139600000000001,6.176199999999997,1.8196,0.3116277266226483,3.5113509051645635,0.2773442626051601
